edit_history_tweet_ids,text,author_id,id,created_at,Unnamed: 0,link,user,likes,quotes,retweets,comments,cleaned_text
['1907463901307924505'],"Welcome among the #INTGenderChampions in Geneva, Valdecy Urquiza of the @INTERPOL_HQ.

Read his commitments for #GenderEquality: https://t.co/h2k8sQf1b5 https://t.co/I81uRYqgDF",3344627026.0,1.91e+18,2025-04-02T16:03:27.000Z,,,,,,,,welcome among geneva valdecy urquiza read commitments
['1907463852549128702'],"Inclusion of Muslim Women: Including Muslim women in the board reflects the principles of gender equality, promoting their participation in decision-making, which aligns with constitutional rights.",9.63e+17,1.91e+18,2025-04-02T16:03:16.000Z,,,,,,,,inclusion muslim women including muslim women board reflects principles gender equality promoting participation decisionmaking aligns constitutional rights
['1907463842243686713'],"@Zioraife I thought being a feminist is just for gender equality and fairness between both gender.
Why can't men not appreciated that for once",1.86e+18,1.91e+18,2025-04-02T16:03:13.000Z,,,,,,,,thought feminist just gender equality fairness gender cant men appreciated
['1907463771842351413'],"@Buhlenomuhle We fought very hard for gender equality, and laws were made to that effect. This kind of proposal makes us an unstable society.",155591208.0,1.91e+18,2025-04-02T16:02:56.000Z,,,,,,,,fought hard gender equality laws made effect kind proposal makes us unstable society
['1907463739148001500'],"@really_martha @duckduckd90 @Fullmetal150 @MrGChristopher Despite popular belief among new age feminists, our society is much closer to a matriarchy than a patriarchy. Women are often worshipped, pampered, and in a relationship with one or more ppl. Men are often alone and poor/homeless, jailed, lose their kids/property, drug addict etc",1.54e+18,1.91e+18,2025-04-02T16:02:49.000Z,,,,,,,,despite popular belief among new age feminists society much closer matriarchy patriarchy women often worshipped pampered relationship one ppl men often alone poorhomeless jailed lose kidsproperty drug addict etc
['1907463601318687207'],"Empowering young women is at the heart of our mission at the Kimba Youth Skilling Centre. 
By addressing high dropout rates and providing tailored training, we're opening doors for girls to lead and succeed!

@UNICEF #BeyondAQuickFix #GirlsEducation #GenderEquality https://t.co/NP1fBNqfax",2813504040.0,1.91e+18,2025-04-02T16:02:16.000Z,,,,,,,,empowering young women heart mission kimba youth skilling centre addressing high dropout rates providing tailored training opening doors girls lead succeed
['1907463577247666195'],"Empowering young women is at the heart of our mission at the Kimba Youth Skilling Centre. 
By addressing high dropout rates and providing tailored training, we're opening doors for girls to lead and succeed. 

@UNICEF #BeyondAQuickFix #GirlsEducation #GenderEquality https://t.co/0g6tYQjFsz",101785524.0,1.91e+18,2025-04-02T16:02:10.000Z,,,,,,,,empowering young women heart mission kimba youth skilling centre addressing high dropout rates providing tailored training opening doors girls lead succeed
['1907463540677497211'],"How are men who are not protected &amp; abandoned, coddled? Do you know what coddled means? If you don’t, let the knowledgeable elder DuBois provide you actual context of coddling. And if you’re blaming, patriarchy, that means you’re blaming mothers for pushing it. https://t.co/Zjl8IyNp3W https://t.co/FrBi2V0eqK",1.53e+18,1.91e+18,2025-04-02T16:02:01.000Z,,,,,,,,men protected amp abandoned coddled know coddled means dont let knowledgeable elder dubois provide actual context coddling youre blaming patriarchy means youre blaming mothers pushing
['1907463397328740543'],@1776General_ I'm a proud white man.  My lineage stems from a Euro patriarchy of whiteness.  And I'm always on time. ⏰,1.85e+18,1.91e+18,2025-04-02T16:01:27.000Z,,,,,,,,im proud white man lineage stems euro patriarchy whiteness im always time
['1907463317678887058'],"Patriarchy believes in pushing the limits of performance and that can be seen in their provocative live performance of ""No Touch Torture.""
https://t.co/7SvqSayoqx",401777842.0,1.91e+18,2025-04-02T16:01:08.000Z,,,,,,,,patriarchy believes pushing limits performance can seen provocative live performance touch torture
['1907463145011990743'],"@redactthefax @MrGChristopher Oh no, you had to take care of your loved ones? The horror!! How could the patriarchy do this!!!!?? https://t.co/r2UxcfHr1S",1.53e+18,1.91e+18,2025-04-02T16:00:27.000Z,,,,,,,,oh take care loved ones horror patriarchy
['1907463128150929411'],"@PhilMitchell83 Listening* sorry lol. No, I’ve already explained why that’s not misandry, it’s patriarchy. “Men are strong, they’re the fighters, women are too weak and not fit for war.” That’s not misandrist reasoning and that’s why that phenomenon exists. This is what I meant about listening.",1.57e+18,1.91e+18,2025-04-02T16:00:23.000Z,,,,,,,,listening sorry lol ive already explained thats misandry patriarchy men strong theyre fighters women weak fit war thats misandrist reasoning thats phenomenon exists meant listening
['1907463089571676178'],"Patriarchy literally brainwashed men that what they have instead of women is better than God. I never met a man who enjoys working 16+ hrs 5 days a week, commuting for 1-2 hours just for one income to cover a family of four, except that he lies to himself that he feels empowered.",49056249.0,1.91e+18,2025-04-02T16:00:14.000Z,,,,,,,,patriarchy literally brainwashed men instead women better god never met man enjoys working hrs days week commuting hours just one income cover family four except lies feels empowered
['1907463044583526473'],@TurningOfPages I’m doing my best! lol can’t fix the patriarchy in an afternoon,9.86e+17,1.91e+18,2025-04-02T16:00:03.000Z,,,,,,,,im best lol cant fix patriarchy afternoon
['1907463043539259841'],@sbetweene “Patriarchy and masculinity” https://t.co/rGTtlxXBvQ,1.53e+18,1.91e+18,2025-04-02T16:00:03.000Z,,,,,,,,patriarchy masculinity
['1907463017081483372'],@TheAllMightyNic Something something rapists and sex pests are actually patriarchy's healthy children,1.64e+18,1.91e+18,2025-04-02T15:59:56.000Z,,,,,,,,something something rapists sex pests actually patriarchys healthy children
['1907462960181596297'],"@MatQuest11 @mrsdobbins_ You men are lucky we women do so much unpaid labor BECAUSE YOUR WALLET WOULD BE EMPTY ON PAYDAY IF YOU HAD TO PAY US FOR OUR 24/7/365 for 18-30 years (just to get the kids to 18) FREE FUCKMAID NANNY JOB🙄

“Patriarchy give wealthy men everything and lesser men wives and children”",1.73e+18,1.91e+18,2025-04-02T15:59:43.000Z,,,,,,,,men lucky women much unpaid labor wallet would empty payday pay us years just get kids free fuckmaid nanny job patriarchy give wealthy men everything lesser men wives children
